A166666               ASSOCIACAO REGION...001BANCO DO BRASIL     2018082100022204DEBITO AUTOMATICO                                                    
E1234000123454            1234000000001234542018091000000000000700003Joao da Silva                                                                   0
E8888000088888            8888000000000888882018091000000000006310003Maria da Silva                                                                  0
E1111000001233            1111000000000012332018091000000000002311203Pedro Henrique                                                                  0
E1234000123454            1234000000001234542018081000000000000700003Joao da Silva                                                                   0
E8888000088888            8888000000000888882018081000000000006310003Maria da Silva                                                                  0
E1111000001233            1111000000000012332018081000000000002311203Pedro Henrique                                                                  0
E1234000123454            1234000000001234542018082200000000000700003Joao da Silva                                                                   0
E8888000088888            8888000000000888882018082200000000006310003Maria da Silva                                                                  0
E1111000001233            1111000000000012332018082200000000002311203Pedro Henrique                                                                  0
E1234000123454            1234000000001234542018082000000000000100003Joao da Silva                                                                   0
E1234000123454            1234000000001234542018082100000000000100003Joao da Silva                                                                   0
E1234000123454            1234000000001234542018082300000000000100003Joao da Silva                                                                   0
Z00001400000000000282636                                                                                                                              
